epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1119.79,0.93441,1.71291,1.36126,0.17859,0.09533,0.09187,0.05028,2.12274,3.6263,2.23583,0.000456863,0.000456863,0.000456863
43,1139.72,0.93658,1.69538,1.36479,0.29806,0.09278,0.08909,0.048,2.04477,3.71106,2.13371,0.00044925,0.00044925,0.00044925
44,1159.73,0.89715,1.68943,1.34164,0.18188,0.09693,0.0953,0.0555,2.05498,3.70091,2.14252,0.000441637,0.000441637,0.000441637
45,1179.76,0.9059,1.70012,1.34155,0.15255,0.0995,0.09341,0.05342,2.04313,3.64167,2.148,0.000434024,0.000434024,0.000434024
46,1199.87,0.92318,1.71939,1.35527,0.29409,0.10024,0.09405,0.05153,1.98476,3.55477,2.08446,0.000426411,0.000426411,0.000426411
47,1219.82,0.89267,1.69232,1.33784,0.20151,0.10629,0.09594,0.05257,2.00829,3.44515,2.09993,0.000418797,0.000418797,0.000418797
48,1239.84,0.8976,1.63555,1.34367,0.1742,0.10548,0.09894,0.05228,2.01402,3.58559,2.12915,0.000411184,0.000411184,0.000411184
49,1259.95,0.91013,1.69929,1.35473,0.19506,0.09843,0.09226,0.04965,2.09921,3.50863,2.21658,0.000403571,0.000403571,0.000403571
50,1279.95,0.87449,1.66017,1.31844,0.1584,0.11176,0.09808,0.05337,2.04991,3.53986,2.15979,0.000395958,0.000395958,0.000395958
51,1299.96,0.86723,1.6931,1.32454,0.14284,0.09188,0.08612,0.04745,2.079,3.70399,2.22974,0.000388345,0.000388345,0.000388345
52,1319.95,0.90713,1.64405,1.33736,0.14782,0.09571,0.08871,0.05069,2.08342,3.67687,2.21617,0.000380732,0.000380732,0.000380732
53,1339.89,0.89436,1.61639,1.33285,0.18282,0.08811,0.09694,0.05171,2.0485,3.67744,2.20373,0.000373119,0.000373119,0.000373119
54,1359.78,0.87247,1.64134,1.31682,0.17446,0.09598,0.09834,0.05372,2.06839,3.66929,2.12589,0.000365506,0.000365506,0.000365506
55,1379.7,0.86342,1.62965,1.30163,0.15195,0.10758,0.10127,0.05771,2.05891,3.59977,2.18694,0.000357893,0.000357893,0.000357893
56,1399.73,0.86387,1.58004,1.31555,0.15158,0.09243,0.0912,0.04884,2.06909,3.5802,2.17557,0.00035028,0.00035028,0.00035028
57,1419.59,0.8767,1.60059,1.31364,0.15027,0.10167,0.09349,0.05033,2.05541,3.53856,2.15302,0.000342666,0.000342666,0.000342666
58,1439.61,0.84483,1.58943,1.3134,0.11331,0.10259,0.08157,0.04357,2.15913,3.69453,2.25051,0.000335053,0.000335053,0.000335053
59,1459.59,0.86412,1.61058,1.33232,0.15756,0.09959,0.10196,0.05513,2.10542,3.43483,2.16955,0.00032744,0.00032744,0.00032744
60,1479.47,0.8734,1.57457,1.32708,0.14961,0.0968,0.09813,0.05482,2.09017,3.517,2.15986,0.000319827,0.000319827,0.000319827
61,1499.38,0.85301,1.60997,1.31115,0.14998,0.11037,0.09872,0.05368,2.13302,3.38976,2.19646,0.000312214,0.000312214,0.000312214
62,1519.34,0.83517,1.55003,1.29988,0.14585,0.10822,0.09157,0.05086,2.11055,3.5156,2.20019,0.000304601,0.000304601,0.000304601
63,1539.3,0.84028,1.5377,1.30002,0.12754,0.10042,0.09278,0.05255,2.14093,3.72156,2.24307,0.000296988,0.000296988,0.000296988
64,1559.35,0.82932,1.54388,1.29523,0.15701,0.10957,0.10129,0.05542,2.12657,3.41079,2.2186,0.000289375,0.000289375,0.000289375
65,1579.4,0.81776,1.54073,1.2812,0.11644,0.11373,0.09591,0.05406,2.08396,3.68761,2.1511,0.000281762,0.000281762,0.000281762
66,1599.34,0.84123,1.51834,1.30295,0.15101,0.10969,0.09152,0.05312,2.07707,3.64191,2.1705,0.000274148,0.000274148,0.000274148
67,1619.24,0.84814,1.54695,1.30992,0.14564,0.10011,0.08395,0.04829,1.99334,3.64042,2.07238,0.000266535,0.000266535,0.000266535
68,1639.17,0.82599,1.50381,1.28918,0.13633,0.11533,0.09819,0.05329,2.08058,3.64473,2.16182,0.000258922,0.000258922,0.000258922
69,1659.18,0.81788,1.50299,1.28499,0.15387,0.10748,0.09581,0.05285,2.11802,3.64769,2.18807,0.000251309,0.000251309,0.000251309
70,1679.2,0.81491,1.50228,1.2604,0.13427,0.08816,0.08231,0.04659,2.00859,3.73733,2.09437,0.000243696,0.000243696,0.000243696
71,1699.26,0.81176,1.4806,1.29685,0.14909,0.11969,0.10231,0.05659,2.04028,3.51778,2.11415,0.000236083,0.000236083,0.000236083
72,1719.25,0.81273,1.48833,1.2834,0.17821,0.08255,0.08843,0.05091,2.11979,3.92678,2.21931,0.00022847,0.00022847,0.00022847
73,1739.2,0.7964,1.46477,1.27251,0.1299,0.11951,0.09391,0.05082,2.09316,3.52777,2.16417,0.000220857,0.000220857,0.000220857
74,1759.12,0.7796,1.45658,1.25828,0.13118,0.11286,0.09118,0.05127,2.10549,3.76879,2.17377,0.000213244,0.000213244,0.000213244
75,1779,0.79385,1.44943,1.24988,0.13165,0.10833,0.09619,0.0535,2.09479,3.73051,2.1804,0.000205631,0.000205631,0.000205631
76,1798.97,0.78762,1.43044,1.25389,0.13058,0.12031,0.09608,0.05325,2.09696,3.78643,2.21933,0.000198018,0.000198018,0.000198018
77,1819.02,0.77714,1.44263,1.25569,0.13468,0.11726,0.0973,0.05168,2.13767,3.77061,2.22977,0.000190404,0.000190404,0.000190404
78,1838.88,0.7895,1.44502,1.26351,0.13867,0.12281,0.09908,0.05451,2.1153,3.62867,2.18541,0.000182791,0.000182791,0.000182791
79,1858.73,0.8008,1.44798,1.27962,0.14052,0.11308,0.0936,0.05464,2.09498,3.67496,2.14697,0.000175178,0.000175178,0.000175178
80,1878.6,0.78097,1.40276,1.25615,0.155,0.11959,0.10338,0.0547,2.12853,3.808,2.18795,0.000167565,0.000167565,0.000167565
81,1898.54,0.78766,1.4412,1.26456,0.15087,0.1274,0.10297,0.05555,2.09026,3.57019,2.15835,0.000159952,0.000159952,0.000159952
82,1918.48,0.77358,1.37716,1.25849,0.13592,0.11793,0.09714,0.05384,2.09426,3.78241,2.18386,0.000152339,0.000152339,0.000152339
83,1938.55,0.75242,1.36603,1.23758,0.13832,0.10409,0.09447,0.05396,2.10363,3.84088,2.14815,0.000144726,0.000144726,0.000144726
84,1958.51,0.7454,1.38011,1.23891,0.15293,0.11668,0.09696,0.05146,2.12894,3.76363,2.19441,0.000137113,0.000137113,0.000137113
85,1978.42,0.77268,1.38742,1.25485,0.15473,0.11429,0.09523,0.05166,2.124,3.77479,2.18183,0.0001295,0.0001295,0.0001295
86,1998.43,0.73949,1.36693,1.22793,0.15373,0.11748,0.09472,0.05176,2.12227,3.67022,2.18375,0.000121887,0.000121887,0.000121887
87,2018.31,0.76864,1.36114,1.23848,0.14779,0.12711,0.1035,0.05387,2.09878,3.66853,2.17787,0.000114273,0.000114273,0.000114273
88,2038.35,0.74706,1.4051,1.24991,0.15264,0.1329,0.09991,0.0552,2.11866,3.75695,2.1906,0.00010666,0.00010666,0.00010666
89,2058.43,0.75002,1.356,1.24164,0.12997,0.11265,0.09729,0.05316,2.09189,3.75536,2.15362,9.90472e-05,9.90472e-05,9.90472e-05
